Fighter
1
10
2
3
9
Charlie Radtke
Charlie Valencia
Charlie Ward
Chas Skelly
Chase Gormley
Chase Hooper
Chase Sherman
Che Mills
Cheick Kongo
Chelsea Chandler
Chepe Mariscal
Cheyanne Buys
Cheyanne Vlismas
Chico Camus
Chidi Njokuani
Choi Dong-hun
Choi Doo-ho
Choi Seung-guk
Choi Seung-woo
Chris Avila
Chris Barnett
Chris Beal
Chris Brennan
Chris Camozzi
Chris Cariaso
Chris Clements
Chris Condo
Chris Cope
Chris Curtis
Chris Daukaus
Chris Dempsey
Chris Duncan
Chris Fishgold
Chris Gruetzemacher
Chris Gutiérrez
Chris Haseman
Chris Heatherly
Chris Holdsworth
Chris Indich
Chris Kelades
Chris Leben
Chris Liguori
Chris Lytle
Chris LytledefeatsJason GilliamUFC 73
Chris Padilla
Chris Price
Chris Sanford
Chris Saunders
Chris Spång
Chris Tickle
Chris Tuchscherer
Chris Wade
Chris Weidman
Chris Weidman(c)
Chris Wilson
Chris de la Rocha
Christian Aguilera
Christian Colombo
Christian Leroy Duncan
Christian Morecraft
Christian Rodriguez
Christian Wellisch
Christina Marks
Christophe Leininger
Christos Giagos
Chuck Liddell
Chuck Liddell(c)
Chuck O'Neil
Cindy Dandois
Ciryl Gane
Ciryl Gane(ic)
Claude Patrick
Claudio Puelles
Claudio Ribeiro
Clay Collard
Clay Guida
Clay Harvison
Clayton Carpenter
Clifford Starks
Clint Hester
Cláudia Gadelha
Cláudio Ribeiro
Cláudio Silva
Cody Brundage
Cody Donovan
Cody Durden
Cody East
Cody Garbrandt
Cody Garbrandt(c)
Cody Gibson
Cody Haddon
Cody McKenzie
Cody Pfister
Cody Stamann
Colby Covington
Colby Thicknesse
Cole Escovedo
Cole Miller
Cole Smith
Cole Williams
Colin Fletcher
Colin Robinson
Collin Anglin
Collin Hart
Colton Smith
Connor Matthews
Conor McGregor
Conor McGregor(ic)
Corey Anderson
Corey Hill
Cortavious Romious
Cortney Casey
Cory Hendricks
Cory McKenna
Cory Sandhagen
Cory Walmsley
Costas Philippou
CotaiArena
Court McGee
Courtney Turner
Cox Pavilion
Crafton Wallace
Craig White
Cris Cyborg
Cris Cyborg(c)
Cristian Quiñonez
Cristian Quiñónez
Cristiano Marcello
Cristina Stanciu
Cub Swanson
Cung Le
Curt Warburton
Curtis Blaydes
Curtis Millender
Curtis Stout
Cynthia Calvillo
Cyril Asker
Cyrille Diabate
Cyrille Diabaté
César Almeida
Da Un Jung
Da'Mon Blackshear
DaMarques Johnson
Daichi Abe
Daiju Takase
Dakota Bush
Dalcha Lungiambula
Dale Hartt
Damacio Page
Damian Grabowski
Damian Stasiak
Damien Brown
Damir Hadžović
Damir Ismagulov
Damon Jackson
Dan Argueta
Dan Barrera
Dan Bobish
Dan Christison
Dan Cramer
Dan Evensen
Dan Hardy
Dan Henderson
Dan Henderson(Pride Champion)
Dan Hooker
Dan Ige
Dan Kelly
Dan Lauzon
Dan Miller
Dan Moret
Dan Severn
Dan Stittgen
Danaa Batgerel
Daniel Argueta
Daniel Barez
Daniel Bárez
Daniel Cormier
Daniel Cormier(c)
Daniel Frunza
Daniel Jolly
Daniel Lacerda
Daniel Marcos
Daniel Omielańczuk
Daniel Pineda
Daniel Roberts
Daniel Rodriguez
Daniel Santos
Daniel Sarafian
Daniel Spitz
Daniel Spohn
Daniel Teymur
Daniel Zellhuber
Daniel da Silva
Danielle Taylor
Danillo Villefort
Danilo Belluardo
Danilo Marques
Danny Abbadi
Danny Barlow
Danny Castillo
Danny Chavez
Danny Downes
Danny Henry
Danny Martinez
Danny Mitchell
Danny Roberts
Danny Silva
Dante Rivera
Danyelle Wolf
Darian Weeks
Darko Stošić
Daron Cruickshank
Darrel Gholar
Darrell Horcher
Darrell Montague
Darren Elkins
Darren Stewart
Darren Till
Darren Uyenoyama
Darrick Minner
Darrill Schoonover
Darrius Flowers
Darya Zheleznyakova
Dashon Johnson
Dave Beneteau
Dave Berry
Dave Galera
Dave Herman
Dave Kaplan
Dave Menne
Dave Menne(c)
Dave Roberts
Dave Strasser
Davey Grant
Davi Ramos
David Baron
David Bielkheden
David Branch
David Dodd
David Dvořák
David Heath
David Hood
David Lee
David Levicki
David Loiseau
David Martínez
David Michaud
David Mitchell
David Onama
David Terrell
David Teymur
David Velasquez
David Zawada
DeAnna Bennett
Dean Barry
Dean Lister
"Dec 15, 2012"
"Dec 8, 2007"
Deiveson Figueiredo
Deiveson Figueiredo(c)
Delson Heleno
Demetrious Johnson
Demetrious Johnson(c)
Demian Maia
Demian MaiadefeatsRick StoryUFC 153
Denis Kang
Denis Stojnić
Denis Tiuliulin
Denise Gomes
Dennis Bermudez
Dennis Buzukja
Dennis Hallman
Dennis Siver
Denys Bondar
Dequan Townsend
Derek Brunson
Derek Downey
Deron Winn
Derrick Krantz
Derrick Lewis
Derrick Noble
